user_id,track_id,listen_time
26213,4dBa8T7oDV9WvGr7kVS4Ez,2024-06-25 17:43:13
6937,4osgfFTICMkcGbbigdsa53,2024-06-25 07:26:00
21407,2LoQWx41KeqOrSFra089YS,2024-06-25 13:25:26
47146,7cfG5lFeJWEgpSnubt4O4W,2024-06-25 18:17:50
38594,6tilCYbheGMHo3Hw4F22hF,2024-06-25 17:33:21
14209,2QuOheWJqShIBIYC1ZCcFu,2024-06-25 02:52:20
26986,6qBSGvyUzqNQv8XtnzCr9n,2024-06-25 22:32:51
8173,1wXSL0SAzd7mX0LM8dmM2r,2024-06-25 11:59:10
12950,0L7Nv6ToXLRAWId4eT7DlX,2024-06-25 17:54:30
2898,7tnE9vy6FCRtbZql5E3k9a,2024-06-25 18:30:31
5873,5QAzf7c3dNfcuXkvxN7TAP,2024-06-25 14:48:02
30933,4cJhBmeJ7KiBeuy7oxRnZ3,2024-06-25 14:07:00
8892,0bcy0hFL8G0IfV0mpeJLzZ,2024-06-25 14:58:10
28613,6tDtuaCX0sIea6o8Qmpyae,2024-06-25 20:50:59
13663,5G67YWTwKKRBkk1EH8aw3S,2024-06-25 04:22:32
21063,1OAkkP5JGtwDZbsE6dg988,2024-06-25 14:59:09
48747,2goJK85OkKFSLkv7k0qa1f,2024-06-25 07:13:38
23953,6q0kToRO5nX5L84IH6GwGf,2024-06-25 20:08:56
31700,2unMCmT3nl0VBRFI3J0xIv,2024-06-25 12:43:23
49035,4du0vJojcm0DzTZby2YhLe,2024-06-25 19:38:06
29114,73eMTJupmeGSxjZOvd8JwJ,2024-06-25 02:30:25
36973,5XJh3VbvvnGYrkubcQwzys,2024-06-25 14:25:37
5214,5Uzvhr8aMXs0pdJdFOERjV,2024-06-25 20:15:13
25964,5HKv1sFHbXgmXBih203HxT,2024-06-25 03:06:29
17927,0Z9J2O5kjOoZi53ZB8krgJ,2024-06-25 03:46:40
46746,3gNPSSeLklIXbJyJgyDTdc,2024-06-25 22:12:26
38718,2xkMeEvHnRhj2URvART1yE,2024-06-25 14:36:05
38168,5mnPSO66I89BekmSlRhejl,2024-06-25 21:28:46
2580,0ujT2z8Pz9Z4PPdLSYsuw1,2024-06-25 06:31:09
30999,6If6tXpbwYs5zBop1AqfwG,2024-06-25 11:36:33
24343,4cT14AH7Gmp97wUSxHwyZJ,2024-06-25 04:08:06
6471,6rAbSwrfReG9rpcmwIsgPH,2024-06-25 18:37:16
4535,2DLczPkq6zt8ZXIcfWkBfh,2024-06-25 14:19:28
43893,4Iv0c5nXRDe5S677qv4vRy,2024-06-25 23:12:58
8364,5FihcmME7NlwW8KbYOaHVH,2024-06-25 18:05:00
43242,7sTDqaGUr9NM8NHQ5SNHi1,2024-06-25 18:40:20
9637,2iga5t4FBM74tLimBRRoqg,2024-06-25 23:33:50
15864,7g8dJIEhLLS17rESlJbp1e,2024-06-25 03:13:09
31603,0Nme92vYmYrVGAEslR2LB0,2024-06-25 05:37:46
34279,5LtfedMPI59Jr7oO1BKjCO,2024-06-25 05:19:45
46197,2GZ9n5ro8Kcj2IVg1XHHYE,2024-06-25 17:18:21
5581,4yKWjiuIeJt2dXlSGgJdXo,2024-06-25 20:08:22
21796,4lSBfTETDE7vSAzVcMpSLz,2024-06-25 16:40:09
31943,552uMPCGWE524Ut5Ey9vLX,2024-06-25 14:11:06
